data1,valor
01/2017,109195
02/2017,108644
03/2017,108249
04/2017,107470
05/2017,107460
06/2017,106703
07/2017,106319
08/2017,106418
09/2017,106646
10/2017,107044
11/2017,107671
12/2017,108551
01/2018,108659
02/2018,108007
03/2018,107321
04/2018,106907
05/2018,106801
06/2018,106263
07/2018,106182
08/2018,106392
09/2018,106898
10/2018,107394
11/2018,108011
12/2018,108692
01/2019,107746
02/2019,104883
03/2019,101927
04/2019,99979
05/2019,98316
06/2019,96517
07/2019,94867
08/2019,93343
09/2019,91649
10/2019,89992
11/2019,88866
12/2019,88467
01/2020,87333
02/2020,86029
03/2020,84237
04/2020,82815
05/2020,81763
06/2020,80983
07/2020,80486
08/2020,80082
