data1,  valor
01/2017,  39946
   02/2017,  38542
   03/2017,  38882
   04/2017,  38706
   05/2017,  38508
   06/2017,  38294
   07/2017,  38108
   08/2017,  37926
   09/2017,  37799
   10/2017,  37944
  11/2017,  38071
  12/2017,  40627
  01/2018,  38805
  02/2018,  37007
  03/2018,  37276
  04/2018,  36964
  05/2018,  36811
  06/2018,  36731
  07/2018,  36521
  08/2018,  36254
  09/2018,  36355
  10/2018,  36595
  11/2018,  36620
  12/2018,  39263
  01/2019,  36329
  02/2019,  33933
  03/2019,  33423
  04/2019,  32472
  05/2019,  31733
  06/2019,  31036
  07/2019,  30125
  08/2019,  29228
  09/2019,  28593
  10/2019,  27812
  11/2019,  27316
  12/2019,  29137
  01/2020,  26874
  02/2020,  25455
  03/2020,  24607
  04/2020,  24155
  05/2020,  23729
  06/2020,  23492
  07/2020,  23239
  08/2020,  23052

