    data1,  valor
 01/2017,  22419
   02/2017,  21453
   03/2017,  22296
   04/2017,  22313
   05/2017,  22336
   06/2017,  22227
   07/2017,  21908
   08/2017,  22002
   09/2017,  22200
   10/2017,  21981
  11/2017,  22182
  12/2017,  23665
  01/2018,  21815
  02/2018,  21000
  03/2018,  21820
  04/2018,  21915
  05/2018,  21992
  06/2018,  21546
  07/2018,  21627
  08/2018,  22018
  09/2018,  22312
  10/2018,  22461
  11/2018,  22581
  12/2018,  24148
  01/2019,  22301
  02/2019,  20986
  03/2019,  21251
  04/2019,  21290
  05/2019,  21217
  06/2019,  21032
  07/2019,  20811
  08/2019,  21001
  09/2019,  20733
  10/2019,  20615
  11/2019,  20595
  12/2019,  21517
  01/2020,  19859
  02/2020,  19013
  03/2020,  21999
  04/2020,  21791
  05/2020,  21526
  06/2020,  21441
  07/2020,  21567
  08/2020,  21531

