data1,valor
01/2018,108659
02/2018,108007
03/2018,107321
04/2018,106907
05/2018,106801
06/2018,106263
07/2018,106182
08/2018,106392
09/2018,106898
10/2018,107394
11/2018,108011
12/2018,108692
01/2019,107746
02/2019,104883
03/2019,101927
04/2019,99979
05/2019,98316
06/2019,96517
07/2019,94867
08/2019,93343
09/2019,91649
10/2019,89992
11/2019,88866
12/2019,88467
01/2020,87333
02/2020,86029
03/2020,84237
04/2020,82815
05/2020,81763
06/2020,80983
07/2020,80486
08/2020,80082
