0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,classe
2.477.706,1.590.145,1.170.371,220.730,564.107,1.856.299,-781.736,2.173.291,-448.675,-1.624.607,-2.308.005,-2.298.877,-239.373,448.915,4.194.590,-950.365,-517.787,-664.643,-1.914.321,-1.167.704,-807.796,1.401.756,-100.468,-823.424,1
2.889.552,1.358.663,-688.401,-829.351,-838.788,-23.847,-964.440,-1.121.919,1.716.170,-1.938.710,2.300.885,-798.210,869.365,-738.152,714.551,293.859,1.125.462,-65.817,-980.211,1.759.782,-492.726,121.591,-1.355.433,2.399.308,1
3.065.615,204.014,-1.392.642,-470.708,1.600.726,387.072,-1.624.202,-761.903,2.820.948,936.843,-2.508.051,-820.629,906.845,425.026,1.001.349,-36.665,-964.857,-1.178.213,-2.027.087,-517.353,-635.443,192.037,-94.060,-2.866.206,1
3.921.893,-3.232.523,470.830,5.990.793,2.266.921,-2.181.064,-3.422.851,1.612.982,-1.307.873,-365.418,1.326.884,1.555.937,1.786.084,2.169.129,-1.197.125,-436.868,-349.930,-5.861,-568.467,-208.431,-1.602.198,-584.125,-1.002.413,945.594,1
3.199.368,-473.906,-296.002,-1.651.854,-676.668,-876.536,-132.849,-509.985,-2.217.725,15.622,865.751,1.045.066,2.897.020,-2.164.492,1.329.878,-660.789,448.897,-1.846.428,619.414,-2.390.131,2.665.091,-2.924.414,-1.337.631,-1.672.690,1
959.835,532.278,423.171,-708.947,-285.718,548.035,28.828,662.144,372.573,-261.169,-364.565,-1.073.007,-175.963,377.468,896.772,-815.231,101.051,-364.257,-663.697,-804.068,-665.492,-351.675,-644.200,-921.669,1
2.493.808,-2.296.285,-937.088,461.899,955.254,-610.542,1.411.343,-40.254,-321.438,3.283.535,-794.620,-869.797,855.027,565.539,447.132,-1.850.767,-1.474.286,-657.275,170.474,3.120.865,-235.342,428.172,-436.154,-1.516.810,1
990.597,142.960,-832.111,-293.641,-368.870,341.721,140.978,718.545,-193.504,-476.127,-157.090,-796.613,1.071.277,1.091,1.240.022,638.481,-273.468,70.776,-432.250,1.794.269,-767.902,606.459,-995.786,1.329.875,1
1.727.557,-2.019.111,-1.153.113,-1.054.760,-1.038.602,-1.287.691,582.039,-644.847,-320.155,567.262,756.577,2.667.012,-980.143,-1.510.501,2.369.417,327.256,1.440.937,-1.612.606,-519.298,1.383.142,-1.412.978,1.119.323,2.063.716,1.409.672,1
881.892,-770.622,-333.068,-461.643,-514.181,-246.105,1.192.162,-126.335,-454.142,691.704,53.863,-1.137.987,545.023,-22.849,-1.436.400,266.304,1.326.436,-2.019.453,314.277,-1.829.395,-1.378.583,1.835.377,-1.418.256,-1.653.257,1
1.482.399,839.290,-1.057.924,-1.599.195,-1.537.719,-754.613,-821.073,-680.224,1.458.949,-569.996,1.467.907,-203.681,870.910,-662.385,35.916,-274.041,-788.363,469.693,-1.170.606,1.888.449,-568.425,-916.389,-767.288,660.876,1
1.974.079,418.223,-2.396.706,780.609,-3.563.598,4.722.197,-681.267,4.537.231,-368.925,-564.689,-3.176.649,3.589.287,538.973,804.110,-716.577,-690.668,612.729,-108.582,1.858.368,1.401.011,544.567,-553.175,-36.861,398.381,1
2.416.957,3.194.910,706.854,-37.270,2.562.729,-379.340,296.037,-691.489,-3.302.837,2.006.102,-2.727.408,104.266,-203.437,-1.716.435,-1.592.698,-1.353.740,3.997.182,3.547.169,-3.071.110,1.214.027,-418.439,-1.760.111,146.472,547.479,1
1.154.101,-1.817.614,371.600,473.354,-256.680,-769.020,-578.980,236.378,-796.788,-1.072.154,-481.062,-256.478,-1.495.771,-1.748.911,-1.233.830,639.013,-853.637,-683.939,-565.753,62.965,895.772,784.938,218.592,648.618,1
297.727,345.314,-111.522,-690.963,-703.001,-648.930,306.744,471.516,947.771,-276.405,287.381,-219.403,-511.035,117.620,-10.762,-916.093,352.735,-248.582,513.412,115.413,-51.580,-1.016.166,537.381,142.851,1
2.509.032,-2.497.627,599.630,1.535.193,-1.030.281,-836.147,945.520,-1.824.287,996.996,-85.285,-1.578.503,2.529.584,-2.797.709,797.576,2.831.888,3.899.368,1.690.532,2.463.080,-340.223,95.348,1.520.855,50.928,-2.405.511,-1.734.854,1
3.161.442,-1.957.765,-277.334,470.833,914.440,-1.131.007,-561.612,-394.296,-698.402,-2.136.896,497.615,600.604,544.049,21.299,127.541,131.684,379.412,-947.990,-434.822,-713.216,-455.709,-729.205,2.516.978,-671.371,1
1.491.938,-230.974,-744.062,-857.720,-27.359,-1.233.903,146.702,937.767,-23.950,429.260,-609.433,-930.213,-2.055.798,-87.543,611.275,-356.722,-28.194,1.306.813,2.463.511,-1.866.619,-1.996.764,-1.180.474,-1.258.918,615.675,1
2.259.468,85.929,1.699.977,-1.903.071,-1.584.542,217.013,2.476.712,-1.714.097,-1.515.338,-1.840.633,663.207,252.254,-580.740,5.500.628,-780.287,1.233.333,-1.562.106,1.147.484,-1.089.057,283.208,-651.628,-2.312.772,1.485.029,-895.556,1
2.732.119,3.767.387,1.425.903,2.979.498,-1.534.995,1.728.734,-3.084.223,-4.424.558,-1.950.380,992.593,386.976,749.697,-2.196.272,-2.357.880,480.861,-292.776,-3.302.027,-212.399,2.050.063,817.252,-1.044.703,463.622,253.787,-1.161.585,1
386.710,-712.535,-131.772,-1.171.177,-94.669,-1.014.344,584.801,1.167.645,-372.677,-46.185,-329.427,-1.558.431,-2.227.288,-235.341,344.525,-1.203.961,-839.126,837.681,2.613.890,-818.950,-3.280.205,-3.151.200,-1.757.802,485.471,1
490.642,-275.868,-682.117,-846.297,-1.497.726,-1.262.098,-71.003,-1.593.493,518.666,513.798,-182.869,1.297.650,-91.613,-628.278,895.331,-1.576.365,813.572,-1.909.789,339.661,560.768,999.527,-1.672.845,-94.734,-209.127,1
2.453.687,913.830,1.178.234,828.218,922.413,-1.653.335,-1.003.634,-93.707,1.206.336,764.357,579.597,-2.182.250,-714.659,2.698.665,1.294.758,-2.976.988,2.511.796,1.033.091,3.993.502,585.218,3.634.808,1.722.813,726.253,357.481,1
3.513.510,2.920.943,-689.883,-1.094.514,-1.778.529,413.121,93.377,-1.064.500,-2.432.835,1.121.505,1.369.357,672.133,-637.656,2.867.734,-2.193.939,-439.761,1.978.435,-3.009.036,-955.870,-1.949.006,-611.228,2.090.264,-1.869.218,840.213,1
850.414,-414.391,-118.068,-264.059,162.462,-298.086,551.417,140.033,-2.488,-137.366,-621.047,-685.854,-537.050,529.489,534.538,-500.656,345.403,-517.183,26.803,1.034.582,-26.977,-91.196,287.940,-3.230,1
1.211.637,-777.981,-1.564.316,-1.245.994,-577.399,-1.970.321,-82.796,-716.846,-337.002,134.149,-2.228.118,858.619,-526.058,-1.031.844,-482.396,1.343.367,531.098,1.058.103,1.444.484,-2.383.615,-1.488.452,3.419.514,772.187,1.403.201,1
1.240.694,367.963,3.059.338,-3.779.142,3.533.558,1.181.653,-4.006.130,556.817,1.396.879,2.372.504,-987.651,283.338,-4.837,940.308,-845.246,4.295.426,853.244,-2.393.378,1.821.244,1.069.827,-261.833,-1.397.452,505.818,933.717,1
1.761.746,1.027.162,1.368.209,775.479,-1.174.228,550.071,196.478,-632.419,-60.524,-1.447.576,-363.371,-1.027.109,-1.252.906,1.998.819,40.450,111.416,-34.573,-624.781,-237.825,976.471,784.927,347.799,629.449,618.797,1
645.677,405.500,211.951,721.104,-435.774,173.894,-383.948,-449.033,933.488,-1.070.004,123.498,-928.924,-58.929,-277.293,2.807.080,-292.302,662.333,-929.282,-1.313.968,-594.467,-250.718,-1.253.432,527.776,3.086.024,1
3.141.635,863.833,-1.916.844,12.480,-1.791.713,-94.738,-1.167.057,1.537.141,1.716.063,-783.484,2.530.051,-1.975.433,-45.482,-1.450.883,-1.871.924,1.677.763,1.677.419,1.841.507,-134.291,1.294.745,-644.418,317.554,-88.808,-2.720.973,1
1.229.819,260.869,-549.223,560.143,-1.110.249,-148.114,-1.144.062,128.771,270.121,-758.984,-417.724,-365.674,-139.931,-718.811,-776.578,313.308,821.942,557.544,406.477,-1.876.136,507.782,-1.120.717,4.723.067,-314.356,1
3.273.591,463.881,-1.177.341,-2.692.089,-296.714,-1.465.866,-192.073,-582.929,-2.544.843,-282.991,-1.175.667,-717.412,4.808.223,429.559,842.516,1.457.561,-2.864.753,2.915.074,1.597.967,193.976,878.263,1.442.146,32.917,1.084.642,1
